filename	*korp_id	*korp_alias	dialect_region	*dialect_region_name	dialect_group	*dialect_group_name	parish_title	parish
vare_karuna1	karuna	karuna	LOU	Lounaismurteet	VarE	Eteläinen Varsinais-Suomi	Karuna	Karuna
vare_kis1	kisk	kisko	LOU	Lounaismurteet	VarE	Eteläinen Varsinais-Suomi	Kisko	Kisko
vare_muurl1	muurl	muurla	LOU	Lounaismurteet	VarE	Eteläinen Varsinais-Suomi	Muurla	Muurla
vare_muurl_hali1	muuhal	muurla_halikko	LOU	Lounaismurteet	VarE	Eteläinen Varsinais-Suomi	Muurla/Halikko	Muurla/Halikko
vare_pai1	paim	paimio	LOU	Lounaismurteet	VarE	Eteläinen Varsinais-Suomi	Paimio	Paimio
vare_pern1	pern	pernio	LOU	Lounaismurteet	VarE	Eteläinen Varsinais-Suomi	Perniö	Perniö
vare_usk1	uske	uskela	LOU	Lounaismurteet	VarE	Eteläinen Varsinais-Suomi	Uskela	Uskela
varp_eura1	eura	eura	LOU	Lounaismurteet	VarP	Pohjoinen Varsinais-Suomi	Eura	Eura
varp_eurj1	eurj	eurajoki	LOU	Lounaismurteet	VarP	Pohjoinen Varsinais-Suomi	Eurajoki	Eurajoki
varp_kalan1	kalan	kalanti	LOU	Lounaismurteet	VarP	Pohjoinen Varsinais-Suomi	Kalanti	Kalanti
varp_kartl1	kartl	karjala_tl	LOU	Lounaismurteet	VarP	Pohjoinen Varsinais-Suomi	Karjala Tl	Karjala Tl
varp_kus1	kust	kustavi	LOU	Lounaismurteet	VarP	Pohjoinen Varsinais-Suomi	Kustavi 1	Kustavi
varp_kus2	kust	kustavi	LOU	Lounaismurteet	VarP	Pohjoinen Varsinais-Suomi	Kustavi 2	Kustavi
varp_laptl	laptl	lappi_tl	LOU	Lounaismurteet	VarP	Pohjoinen Varsinais-Suomi	Lappi Tl	Lappi Tl
varp_luv1	luvi	luvia	LOU	Lounaismurteet	VarP	Pohjoinen Varsinais-Suomi	Luvia	Luvia
varp_mas1	mask	masku	LOU	Lounaismurteet	VarP	Pohjoinen Varsinais-Suomi	Masku	Masku
varp_pyhm1	pyhm	pyhamaa	LOU	Lounaismurteet	VarP	Pohjoinen Varsinais-Suomi	Pyhämaa	Pyhämaa
varp_raum1	raum	rauma	LOU	Lounaismurteet	VarP	Pohjoinen Varsinais-Suomi	Rauma 1	Rauma
varp_raum2	raum	rauma	LOU	Lounaismurteet	VarP	Pohjoinen Varsinais-Suomi	Rauma 2	Rauma
