total changes: 26153
number	change
5	lemma	iballuṭ -> balāṭu
1	lemma	ibaššâ -> bašû
14	lemma	ibaššû -> bašû
1	lemma	ibaššûma -> bašû
1	lemma	ibšû -> bašû
3	lemma	idabbub -> dabābu
3	lemma	idukkūšu -> dâku
1	lemma	igigub -> igigubbû
1	lemma	ihalliqū -> halāqu
2	lemma	ikaššad -> kašādu
14	lemma	ikkalāšu -> akālu
5	lemma	ikkalū -> akālu
3	lemma	ikân -> kânu
1	lemma	illakū -> alāku
3	lemma	illakūma -> alāku
2	lemma	imannû -> manû
1	lemma	imaqqatū -> magātu
3	lemma	imaṭṭû -> maṭû
3	lemma	immar -> amāru
16	lemma	imât -> mâtu
1	lemma	imūtū -> mâtu
7	lemma	inaṭṭalū -> naṭālu
2	lemma	inessû -> nešû
6	lemma	innamir -> amāru
1	lemma	innammar -> amāru
1	lemma	innammaru -> amāru
1	lemma	innammarū -> amāru
1	lemma	innamru -> amāru
13	lemma	innamrū -> amāru
4	lemma	ipparrasū -> parāsu
1	lemma	iptenette -> petû
28	lemma	iqabbi -> qabû
14	lemma	iqabbima -> qabû
2	lemma	iraššû -> rašû
2	lemma	ireddû -> redû
1	lemma	irrik -> arāku
10	lemma	irrikū -> arāku
3	lemma	irrubūma -> erēbu
2	lemma	irtanašši -> rašû
2	lemma	irteneddešu -> redû
3	lemma	isallimū -> salāmu
1	lemma	issappah -> sapāhu
1	lemma	issappahū -> sapāhu
1	lemma	issima -> šasû
2	lemma	ittallak -> alāku
1	lemma	ittanaddi -> nadû
1	lemma	ittanakkir -> nakāru
8	lemma	ittanallak -> alāku
1	lemma	ittanallakā -> alāku
3	lemma	ittanmar -> amāru
2	lemma	ittazizzū -> izuzzu
1	lemma	iturrūnimma -> târu
2	lemma	izzibūšu -> ezēbu
3	lemma	izzizzū -> izuzzu
8	lemma	išakkanū -> šakānu
33	lemma	išallim -> šalāmu
2	lemma	ištanakkan -> šakānu
20	lemma	ištanassi -> šasû
4	lemma	iššakkanū -> šakānu
1	lemma	iššeggû -> šegû
57	lemma	iššir -> ešēru
2	lemma	iṣabbatūma -> ṣabātu
1	lemma	iṣehher -> ṣehēru
8	lemma	iṭâb -> ṭâbu
1	lemma	kal -> kalû
10	lemma	kussâ -> kussû
2	lemma	nikkas -> nikkasu
10	lemma	taballal -> balālu
24	lemma	taqabbi -> qabû
2	lemma	tattanaddi -> nadû
4	lemma	tašaddad -> šadādu
4	lemma	tašappi -> šapû
2	lemma	taštanakkan -> šakānu
7	lemma	tērubti -> tērubtu
1	lemma	šadê -> šadû
19	lemma	šatti -> šattu
8	lemma	šumēli -> šumēlu
1	lemma	ṣēri -> ṣēru
1	xlit	$LI{mušen} -> $LI{MUŠEN}
3	xlit	1(BURʾU){gana₂} -> 1(BURʾU){GANA₂}
2	xlit	1(BUR₃){gana₂} -> 1(BUR₃){GANA₂}
3	xlit	1(EŠE₃){gana₂} -> 1(EŠE₃){GANA₂}
36	xlit	1(IKU){gana₂} -> 1(IKU){GANA₂}
2	xlit	1(iku){gana₂} -> 1(iku){GANA₂}
1	xlit	1(ŠARU){gana₂} -> 1(ŠARU){GANA₂}
4	xlit	1(ŠAR₂){gana₂} -> 1(ŠAR₂){GANA₂}
12	xlit	1/2(IKU){gana₂} -> 1/2(IKU){GANA₂}
2	xlit	2(BURʾU){gana₂} -> 2(BURʾU){GANA₂}
2	xlit	2(BUR₃){gana₂} -> 2(BUR₃){GANA₂}
2	xlit	2(EŠE₃){gana₂} -> 2(EŠE₃){GANA₂}
3	xlit	2(IKU){gana₂} -> 2(IKU){GANA₂}
2	xlit	2(ŠAR₂){gana₂} -> 2(ŠAR₂){GANA₂}
2	xlit	3(BURʾU){gana₂} -> 3(BURʾU){GANA₂}
2	xlit	3(BUR₃){gana₂} -> 3(BUR₃){GANA₂}
5	xlit	3(IKU){gana₂} -> 3(IKU){GANA₂}
1	xlit	3(iku){gana₂} -> 3(iku){GANA₂}
2	xlit	3(ŠAR₂){gana₂} -> 3(ŠAR₂){GANA₂}
2	xlit	4(BURʾU){gana₂} -> 4(BURʾU){GANA₂}
2	xlit	4(BUR₃){gana₂} -> 4(BUR₃){GANA₂}
3	xlit	4(IKU){gana₂} -> 4(IKU){GANA₂}
2	xlit	4(ŠAR₂){gana₂} -> 4(ŠAR₂){GANA₂}
2	xlit	5(BURʾU){gana₂} -> 5(BURʾU){GANA₂}
2	xlit	5(BUR₃){gana₂} -> 5(BUR₃){GANA₂}
3	xlit	5(IKU){gana₂} -> 5(IKU){GANA₂}
2	xlit	5(ŠAR₂){gana₂} -> 5(ŠAR₂){GANA₂}
2	xlit	6(BUR₃){gana₂} -> 6(BUR₃){GANA₂}
2	xlit	6(ŠAR₂){gana₂} -> 6(ŠAR₂){GANA₂}
2	xlit	7(BUR₃){gana₂} -> 7(BUR₃){GANA₂}
2	xlit	7(ŠAR₂){gana₂} -> 7(ŠAR₂){GANA₂}
2	xlit	8(BUR₃){gana₂} -> 8(BUR₃){GANA₂}
2	xlit	8(ŠAR₂){gana₂} -> 8(ŠAR₂){GANA₂}
2	xlit	9(BUR₃){gana₂} -> 9(BUR₃){GANA₂}
2	xlit	9(ŠAR₂){gana₂} -> 9(ŠAR₂){GANA₂}
13	xlit	AGADE₃{ki} -> AGADE₃{KI}
