# Lemmatization errors and inconsistencies in Oracc
# Oracc lemma on the left, proposed correction on the right
iballuṭ	balāṭu	V
ibaššâ	bašû	V
ibaššû	bašû	V
ibaššûma	bašû	V
ibšû	bašû	V
idabbub	dabābu	V
idukkūšu	dâku	V
ihalliqū	halāqu	V
ihtarṣu	harāṣu	V
ikân	kânu	V
ikaššad	kašādu	V
ikkalāšu	akālu	V
ikkalū	akālu	V
illakū	alāku	V
illakūma	alāku	V
imannû	manû	V
imaqqatū	magātu	V
imât	mâtu	V
imaṭṭû	maṭû	V
immar	amāru	V
imūtū	mâtu	V
inaṭṭalū	naṭālu	V
inessû	nešû	V
innamir	amāru	V
innammar	amāru	V
innammaru	amāru	V
innammarū	amāru	V
innamru	amāru	V
innamrū	amāru	V
ipparrasū	parāsu	V
iptenette	petû	V
iqabbi	qabû	V
iqabbima	qabû	V
iraššû	rašû	V
ireddû	redû	V
irrik	arāku	V
irrikū	arāku	V
irrubūma	erēbu	V
irtanašši	rašû	V
irteneddešu	redû	V
iṣabbatūma	ṣabātu	V
išakkanū	šakānu	V
išallim	šalāmu	V
isallimū	salāmu	V
išdu	šadû	V
iṣehher	ṣehēru	V
ishappu	sahāpu	V
iššakkanū	šakānu	V
issappah	sapāhu	V
issappahū	sapāhu	V
iššeggû	šegû	V
issima	šasû	V
iššir	ešēru	V
ištanakkan	šakānu	V
ištanassi	šasû	V
iṭâb	ṭâbu	V
ittallak	alāku	V
ittanaddi	nadû	V
ittanakkir	nakāru	V
ittanallak	alāku	V
ittanallakā	alāku	V
ittanmar	amāru	V
ittazizzū	izuzzu	V
iturrūnimma	târu	V
izzibūšu	ezēbu	V
izzizzū	izuzzu	V
melammu	melemmu	N
taballal	balālu	V
kussâ	kussû	N
taqabbi	qabû	V
tašaddad	šadādu	V
tašappi	šapû	V
taštanakkan	šakānu	V
tattanaddi	nadû	V
siššê	sisû	N
erî	erû	N
sulummê	sulummû	N
šadê	šadû	N
udê	udû	N
malallê	malallû	N
šahīti	šahītu	N
kal	kalû	N
kala	kalû	N
šapal	šaplu	N
api	apu	N
qereb	qerbu	N
šatti	šattu	N
šatta	šattu	N
šanûte	šanûtu	N
šanûtī	šanûtī-	AV
šanûtī-	šanûtī-	AV
kiššati	kiššatu	N
abati	abatu	N
ṣēri	ṣēru	N
santak	santakku	N
ramāni	ramānu	N
nikkas	nikkasu	N
kabūt	kabūtu	N
igigub	igigubbû	N
gašri	gašru	N
ebel	eblu	N
šumēli	šumēlu	N
šasnibi	šasnibu	N
šagur	šagurru	N
udāti	udātu	N
tērubti	tērubtu	N
tahsāti	tahsātu	N
pašīšūti	pašīšūtu	N
puluhti	puluhtu	N
mašgaš	mašgašu	N
hilāni	hilānu	N
birīt	birītu	N
apluhti	apluhtu	N
