_	xx
ABBR	an
ADJ	jj
ADV	ab
AG-PART	xx
AMPERSAND	xx
A-UNINFL	jj
BACK-SLASH	xx
CC	kn
COLON	xx
COMMA	xx
CONJ	sn
CONJ/CC	kn
DEM	pn
DOLLAR-SIGN	xx
DOUBLE-QUOTE	xx
DOUBLE-QUOTE-CLOSING	xx
DOUBLE-QUOTE-OPENING	xx
EQUAL-MARK	xx
EXCLAM	xx
GEN-CON	xx
GEN-CON-KWA	xx
HYPHEN	xx
INTERROG	pn
LEFT-CURLYBRACKET	xx
LEFT-PARENTHESIS	xx
LEFT-SQUAREBRACKET	xx
MWE	xx
N	nn
NUM	nl
NUM-ROM	nl
PERCENT-MARK	xx
PLUS-SIGN	xx
POSS-PRON	pn
POUND-SIGN	xx
PREP	pp
PREP/ADV	xx
PRON	pn
PROPNAME	pm
QUESTION-MARK	xx
REL-LI	xx
REL-LI-VYO	xx
REL-SI	xx
REL-SI-VYO	xx
RIGHT-ANGLEBRACKET	xx
RIGHT-CURLYBRACKET	xx
RIGHT-PARENTHESIS	xx
RIGHT-SQUAREBRACKET	xx
SEMI-COLON	xx
SINGLE-QUOTE	xx
SINGLE-QUOTE-CLOSING	xx
SINGLE-QUOTE-OPENING	xx
SLASH	xx
STOP	xx
TITLE	xx
UNDER-SCORE	xx
V	vb
V-BE	vb
V-DEF	vb
VERTICAL-BAR	xx
