# Word picture relations mapping for the dependency annotation scheme
# used in the Russian parts of ParFin and ParRus. The mapping is
# preliminary, covers only a few relations and is very rough.

1-компл	-
1-несобст-компл	-
2-компл	-
2-несобст-компл	-
3-компл	-
3-несобст-компл	-
4-компл	-
5-компл	-
PUNC	-
ROOT	-
fictit	-
агент	SS
аддит	-
аналит	-
аппоз	-
аппрокс-колич	-
атриб	AT
вводн	-
вспом	-
дат-субъект	SS
дистанц	-
длительн	-
изъясн	-
инф-союзн	-
квазиагент	SS
колич-вспом	-
колич-копред	-
колич-огран	-
количест	-
ком-сочин	-
компл-аппоз	-
композ	-
композ-аппоз	-
кратн	-
кратно-длительн	-
неакт-компл	-
несобст-агент	-
ном-аппоз	-
нум-аппоз	-
об-аппоз	-
об-копр	-
обст	-
обст-тавт	-
огранич	-
оп-аппоз	-
оп-опред	AT
опред	AT
пасс-анал	-
подч-союзн	-
предик	-
предл	PP
презентат	-
примыкат	-
присвяз	-
пролепт	-
разъяснит	-
распред	-
релят	-
сент-предик	-
сент-соч	-
соотнос	-
соч-союзн	-
сочин	-
сравн-союзн	-
сравнит	-
суб-копр	-
суб-обст	-
уточн	-
эксплет	-
электив	-
эллипт	-
